,EMD_CD,data
0,50110101,262656740
1,50110102,47509040
2,50110103,164168640
3,50110104,263497458
4,50110105,116966561
5,50110106,104317140
6,50110107,100653330
7,50110108,35631875
8,50110109,10689600097
9,50110110,822437090
10,50110111,63592030
11,50110112,1500921110
12,50110114,2483000
13,50110115,265000
14,50110116,68000
15,50110117,85189800
16,50110118,12125260
17,50110119,8049000
18,50110120,825713090
19,50110121,11211000
20,50110122,537455370
21,50110123,38639309
22,50110124,180400
23,50110125,3452109039
24,50110126,6685706046
25,50110127,386000
26,50110129,335939653
27,50110130,32305330
28,50110133,2210660
29,50110134,1836500
30,50110136,2397000
31,50110137,5724427113
32,50110138,107000
33,50110139,7440400
34,50110250,433827018
35,50110253,1374890315
36,50110256,252400720
37,50110259,864819627
38,50110310,13221500
39,50110330,38601600
40,50130101,1086982522
41,50130102,23923000
42,50130103,773520
43,50130104,1185197800
44,50130105,113398930
45,50130106,28205610
46,50130107,29558000
47,50130108,1269720
48,50130109,109000
49,50130112,67064490
50,50130113,17034640
51,50130114,10779500
52,50130116,39533430
53,50130118,230000
54,50130119,58824400
55,50130120,28537100
56,50130250,168919045
57,50130253,72296150
58,50130259,1002359794
59,50130310,1456648997
60,50130320,2340288921
