,EMD_CD,data
0,50110101,169567753
1,50110102,89710086
2,50110103,754528125
3,50110104,1254227142
4,50110105,590358231
5,50110106,4336725975
6,50110107,2382861616
7,50110108,205151167
8,50110109,150959290
9,50110110,334889320
10,50110111,250000
11,50110113,10546100
12,50110114,80384416
13,50110115,2595000
14,50110116,24332000
15,50110117,97917410
16,50110118,4781372
17,50110119,133216341
18,50110120,159283700
19,50110122,2581720108
20,50110123,711386833
21,50110124,141279596
22,50110125,228573619
23,50110127,328920445
24,50110128,51768835
25,50110129,11692800
26,50110133,3181680204
27,50110134,839663066
28,50110137,14214777700
29,50110139,1343162014
30,50110140,154230728
31,50110250,2909627493
32,50110253,5833901710
33,50110256,718290233
34,50110259,7300527881
35,50110310,102708729
36,50110330,42337958
37,50130101,3688382623
38,50130102,1358888294
39,50130103,985006954
40,50130104,85658008
41,50130105,1685000
42,50130106,405018853
43,50130107,88085485
44,50130108,13752660
45,50130109,18228200
46,50130110,161302611
47,50130111,1471434828
48,50130112,2732726595
49,50130113,731527425
50,50130114,338667112
51,50130115,1010000
52,50130116,3160383415
53,50130117,870000
54,50130118,394686892
55,50130119,39752352512
56,50130120,3579025127
57,50130121,244790361
58,50130122,166427611
59,50130250,519787705
60,50130253,9532683367
61,50130259,7068754260
62,50130310,13292531075
63,50130320,4143005161
