EMD_CD,data
50110101,20298810
50110102,134605200
50110103,31612100
50110104,77003200
50110105,74791000
50110106,40857000
50110107,50188200
50110108,36665020
50110111,13525000
50110114,11695000
50110117,5304500
50110119,7198000
50110121,960000
50110122,94261900
50110123,13300000
50110129,4015000
50110130,10175000
50110137,378379900
50110250,103363500
50110253,14753000
50110256,21575000
50110259,28027000
50110310,10430000
50110330,8110000
50130101,173127000
50130102,2050000
50130112,44884000
50130250,109790998
50130253,15161000
50130259,48702000
50130310,61559000
50130320,43997010
