EMD_CD,data
50110101,104374740
50110102,45822170
50110103,32459649
50110104,262859624
50110105,12884320
50110106,3750400
50110107,73361580
50110108,870500
50110109,1005360086
50110110,191675490
50110111,30137800
50110113,12040300
50110114,21195410
50110115,636400
50110116,10354000
50110117,71555370
50110118,54023200
50110119,19109910
50110120,134892420
50110122,291606329
50110123,12534000
50110124,8553500
50110125,12261380
50110126,4398200
50110127,51616290
50110129,36836120
50110130,33789940
50110135,12200300
50110136,8910874
50110137,389471020
50110140,5884500
50110250,140174980
50110253,448006130
50110256,385683880
50110259,215765502
50110310,27365700
50110330,252884471
50130101,246200700
50130102,72242810
50130103,72239875
50130104,25200
50130105,59384260
50130106,63411500
50130108,36153450
50130110,727200
50130111,9092700
50130112,27657155
50130114,304000
50130115,1397000
50130116,35187195
50130119,46259310
50130121,264000
50130250,152973050
50130253,48028200
50130259,401942312
50130310,174227470
50130320,105126330
