EMD_CD,data
50110101,1117810128
50110102,1584585655
50110103,889322919
50110104,2845092664
50110105,424303720
50110106,2643020243
50110107,1984741512
50110108,1089507371
50110109,2615782085
50110110,2013245606
50110111,303659048
50110112,35296200
50110113,111728450
50110114,209298262
50110115,53323000
50110116,277288190
50110117,883938145
50110118,479235010
50110119,330039790
50110120,449189990
50110121,425960250
50110122,8208223731
50110123,914473478
50110124,243073900
50110125,378200676
50110126,314762850
50110127,1308939449
50110128,471444780
50110129,741980312
50110130,238524852
50110131,29223500
50110133,8157800
50110134,68752700
50110135,8119000
50110136,47399710
50110137,9356297866
50110138,123700
50110139,67890020
50110140,62130780
50110250,6239272038
50110253,9918753180
50110256,6112850647
50110259,7438451277
50110310,1713836371
50110330,1178799952
50130101,6058729909
50130102,722002140
50130103,927774484
50130104,167877500
50130105,1052796170
50130106,455278109
50130107,102113400
50130108,278394700
50130109,162172400
50130110,226062750
50130111,663948280
50130112,2722253864
50130113,137287325
50130114,1070095377
50130115,23966000
50130116,1310863433
50130117,32572500
50130118,321667307
50130119,4652234200
50130120,709723800
50130121,292612700
50130122,6558300
50130250,3621150679
50130253,1372508367
50130259,7816250922
50130310,5243038159
50130320,2916238287
