기준일자,연령,인원,전년동기,증감률
2019,20세 이하,3544684.0,3630295.0,-2.4
2019,21~30세,4841583.0,4928816.0,-1.8
2019,31~40세,5415061.0,5419475.0,-0.1
2019,41~50세,5214076.0,5306236.0,-1.7
2019,51~60세,4734046.0,4658349.0,1.6
2019,61세이상,3170965.0,2985218.0,6.2
2019,승무원,1793832.0,1767594.0,1.5
2019,전체,2.8714247E7,2.8695983E7,0.1
2020,20세 이하,558134.0,3544684.0,-84.3
2020,21~30세,701499.0,4841583.0,-85.5
2020,31~40세,647009.0,5415061.0,-88.1
2020,41~50세,743139.0,5214076.0,-85.7
2020,51~60세,625313.0,4734046.0,-86.8
2020,61세이상,413512.0,3170965.0,-87.0
2020,승무원,587400.0,1793832.0,-67.3
2020,전체,4276006.0,2.8714247E7,-85.1
2021,20세 이하,102987.0,558134.0,-81.5
2021,21~30세,152869.0,701499.0,-78.2
2021,31~40세,182322.0,647009.0,-71.8
2021,41~50세,164647.0,743139.0,-77.8
2021,51~60세,116863.0,625313.0,-81.3
2021,61세이상,83513.0,413512.0,-79.8
2021,승무원,419340.0,587400.0,-28.6
2021,전체,1222541.0,4276006.0,-71.4
2022,20세 이하,652182.0,102987.0,533.3
2022,21~30세,1201869.0,152869.0,686.2
2022,31~40세,1361682.0,182322.0,646.9
2022,41~50세,1116857.0,164647.0,578.3
2022,51~60세,920739.0,116863.0,687.9
2022,61세이상,651612.0,83513.0,680.3
2022,승무원,649090.0,419340.0,54.8
2022,전체,6554031.0,1222541.0,436.1
전체,20세 이하,4857987.0,7836100.0,-38.0
전체,21~30세,6897820.0,1.0624767E7,-35.1
전체,31~40세,7606074.0,1.1663867E7,-34.8
전체,41~50세,7238719.0,1.1428098E7,-36.7
전체,51~60세,6396961.0,1.0134571E7,-36.9
전체,61세이상,4319602.0,6653208.0,-35.1
전체,승무원,3449662.0,4568166.0,-24.5
전체,전체,4.0766825E7,6.2908777E7,-35.2
