,EMD_CD,data
0,50110101,62411810
1,50110102,464923158
2,50110103,128756220
3,50110104,306464125
4,50110105,282828000
5,50110106,152363300
6,50110107,120643950
7,50110108,120241040
8,50110111,49785000
9,50110114,35693000
10,50110116,1255000
11,50110117,16526500
12,50110119,20888000
13,50110121,6630000
14,50110122,280562395
15,50110123,27060000
16,50110129,13855000
17,50110130,24989000
18,50110137,1193013700
19,50110250,306610528
20,50110253,51355500
21,50110256,76121000
22,50110259,71278000
23,50110310,49245000
24,50110330,27078000
25,50130101,569771405
26,50130102,7200000
27,50130112,139314000
28,50130250,370610098
29,50130253,57205000
30,50130259,131673000
31,50130310,115080000
32,50130320,142170210
