,EMD_CD,data
0,50110101,39348000
1,50110102,314318358
2,50110103,88804120
3,50110104,212934425
4,50110105,197907000
5,50110106,101839000
6,50110107,63827000
7,50110108,77631020
8,50110111,33360000
9,50110114,23438000
10,50110116,1255000
11,50110117,11222000
12,50110119,13370000
13,50110121,5270000
14,50110122,173610495
15,50110123,12950000
16,50110129,9540000
17,50110130,14078000
18,50110137,751460800
19,50110250,179648018
20,50110253,31022500
21,50110256,48266000
22,50110259,37727000
23,50110310,37025000
24,50110330,15798000
25,50130101,352209405
26,50130102,4850000
27,50130112,86220000
28,50130250,243477100
29,50130253,37224000
30,50130259,75301000
31,50130310,47621000
32,50130320,85130200
