,EMD_CD,data
0,50110101,275543500
1,50110102,91578790
2,50110103,64655579
3,50110104,555214934
4,50110105,25606930
5,50110106,12696500
6,50110107,151957400
7,50110108,2920500
8,50110109,1707465246
9,50110110,400849455
10,50110111,63339800
11,50110112,6676000
12,50110113,19251300
13,50110114,39559760
14,50110115,3278900
15,50110116,24594860
16,50110117,181261720
17,50110118,112392400
18,50110119,46142910
19,50110120,298805810
20,50110121,4739600
21,50110122,718026269
22,50110123,47439400
23,50110124,21769500
24,50110125,22666830
25,50110126,7559610
26,50110127,95844090
27,50110129,63338920
28,50110130,62014730
29,50110131,151100
30,50110135,62573200
31,50110136,18727734
32,50110137,897823990
33,50110140,7474500
34,50110250,303949500
35,50110253,1093992880
36,50110256,896520150
37,50110259,503630202
38,50110310,73388520
39,50110330,538369331
40,50130101,562661100
41,50130102,146485300
42,50130103,147285355
43,50130104,25200
44,50130105,121643170
45,50130106,132729750
46,50130108,102057340
47,50130110,1207700
48,50130111,28173100
49,50130112,59169735
50,50130113,95000
51,50130114,1938800
52,50130115,2982500
53,50130116,80587975
54,50130119,68125010
55,50130121,423500
56,50130250,365994930
57,50130253,133983021
58,50130259,991105138
59,50130310,468447210
60,50130320,201937385
