,EMD_CD,data
0,50110101,115550020
1,50110102,30967400
2,50110103,22381300
3,50110104,219508800
4,50110105,9312300
5,50110106,1876500
6,50110107,55245030
7,50110108,883000
8,50110109,555907890
9,50110110,148757660
10,50110111,24731600
11,50110112,4550000
12,50110113,6133100
13,50110114,13909750
14,50110116,7965600
15,50110117,79729330
16,50110118,42602450
17,50110119,19840420
18,50110120,127972310
19,50110121,3803800
20,50110122,306226590
21,50110123,24303000
22,50110124,7884000
23,50110125,7571320
24,50110126,2483100
25,50110127,32924300
26,50110129,20292540
27,50110130,21464260
28,50110135,27939500
29,50110136,7042140
30,50110137,348432850
31,50110140,1539000
32,50110250,111901740
33,50110253,422355600
34,50110256,374119740
35,50110259,203939800
36,50110310,27740320
37,50110330,191359910
38,50130101,221179470
39,50130102,57199600
40,50130103,55328230
41,50130105,48654270
42,50130106,50638750
43,50130108,42840010
44,50130110,337500
45,50130111,9405300
46,50130112,19963970
47,50130113,95000
48,50130114,1162100
49,50130115,1129000
50,50130116,28875180
51,50130119,17026700
52,50130121,153500
53,50130250,152183190
54,50130253,62446540
55,50130259,405598460
56,50130310,195544390
57,50130320,71732535
