,EMD_CD,data
0,50110101,2885942264
1,50110102,4810344409
2,50110103,2451333395
3,50110104,8046809564
4,50110105,1281983946
5,50110106,6991564545
6,50110107,5535295891
7,50110108,2788024382
8,50110109,8744261583
9,50110110,5952671375
10,50110111,1057426248
11,50110112,152254600
12,50110113,331759019
13,50110114,706376976
14,50110115,145332100
15,50110116,800514950
16,50110117,2718779412
17,50110118,1497941770
18,50110119,1062305075
19,50110120,1394070410
20,50110121,1295626368
21,50110122,22403024415
22,50110123,2404780184
23,50110124,574444769
24,50110125,921546860
25,50110126,845450080
26,50110127,3735641081
27,50110128,1089403464
28,50110129,2335978000
29,50110130,675191607
30,50110131,80533700
31,50110133,15700915
32,50110134,204961820
33,50110135,27314106
34,50110136,112468210
35,50110137,26224826036
36,50110138,5746500
37,50110139,332848620
38,50110140,155512230
39,50110250,15729061962
40,50110253,24468114284
41,50110256,15036925713
42,50110259,18934761667
43,50110310,4208187164
44,50110330,3292118683
45,50130101,16442234729
46,50130102,2051292716
47,50130103,2486753926
48,50130104,507401580
49,50130105,3122889737
50,50130106,1320908570
51,50130107,249659500
52,50130108,760381489
53,50130109,350356200
54,50130110,507553400
55,50130111,1798651616
56,50130112,7915778379
57,50130113,378665060
58,50130114,2811091433
59,50130115,63641500
60,50130116,3692825962
61,50130117,81355500
62,50130118,910620835
63,50130119,13303133861
64,50130120,1748082464
65,50130121,665509621
66,50130122,11511900
67,50130250,9532969637
68,50130253,3658667699
69,50130259,21756339978
70,50130310,13807726924
71,50130320,7841558033
