,EMD_CD,data
0,50110101,325734740
1,50110102,564532121
2,50110103,378424968
3,50110104,1053564111
4,50110105,172157990
5,50110106,1380787427
6,50110107,900360650
7,50110108,443246191
8,50110109,1164484080
9,50110110,928322450
10,50110111,97770210
11,50110112,8801200
12,50110113,40217900
13,50110114,102961800
14,50110115,16932000
15,50110116,117837900
16,50110117,329638080
17,50110118,193991700
18,50110119,126166800
19,50110120,174742500
20,50110121,232562218
21,50110122,3068380620
22,50110123,350636750
23,50110124,110148200
24,50110125,125629000
25,50110126,124255180
26,50110127,510510240
27,50110128,301299639
28,50110129,258664624
29,50110130,84062088
30,50110131,10662300
31,50110133,4010015
32,50110134,31555100
33,50110135,2421000
34,50110136,18453400
35,50110137,3774000663
36,50110138,5458500
37,50110139,28720200
38,50110140,46957000
39,50110250,2843476588
40,50110253,4601197741
41,50110256,2593424321
42,50110259,3100665240
43,50110310,699465330
44,50110330,461391583
45,50130101,2743052138
46,50130102,295289360
47,50130103,348226414
48,50130104,75202000
49,50130105,434144586
50,50130106,175904570
51,50130107,37933500
52,50130108,128332200
53,50130109,62077450
54,50130110,115946500
55,50130111,284887350
56,50130112,1117482226
57,50130113,23656800
58,50130114,586624450
59,50130115,8672500
60,50130116,570529880
61,50130117,16031000
62,50130118,125278960
63,50130119,1933425185
64,50130120,309729330
65,50130121,174516400
66,50130122,4953600
67,50130250,1541812979
68,50130253,628450482
69,50130259,3349457867
70,50130310,2613857831
71,50130320,1231789627
