EMD_CD,data
50110101,0
50110102,583064
50110103,0
50110104,0
50110105,0
50110106,322946
50110107,790353
50110108,0
50110109,0
50110110,0
50110111,0
50110112,0
50110113,0
50110114,95501
50110115,0
50110116,2326554
50110117,0
50110118,0
50110119,0
50110120,0
50110121,0
50110122,0
50110123,0
50110124,0
50110125,0
50110126,0
50110127,0
50110128,0
50110129,0
50110130,0
50110131,0
50110132,0
50110133,0
50110134,3013134
50110135,0
50110136,0
50110137,252933
50110138,0
50110139,0
50110140,0
50110250,205167
50110253,366279
50110256,4929057
50110259,911075
50110310,245543
50110330,0
50130101,2915786
50130102,0
50130103,0
50130104,0
50130105,0
50130106,4269811
50130107,0
50130108,0
50130109,275330
50130110,0
50130111,0
50130112,4587668
50130113,0
50130114,0
50130115,0
50130116,0
50130117,0
50130118,572599
50130119,1717620
50130120,0
50130121,0
50130122,0
50130250,2537536
50130253,0
50130259,5917160
50130310,3655841
50130320,0
