마을명,시군구명,읍면동명,법정동코드,행정리명,관광지명,관광지유형
남원1리마을,서귀포시,남원읍,50130253,남원1리,금호제주리조트 아쿠아나,워터파크
남원1리마을,서귀포시,남원읍,50130253,남원1리,큰엉해안경승지,자연명소
남원1리마을,서귀포시,남원읍,50130253,남원1리,코코몽 에코파크,테마파크
수망리마을,서귀포시,남원읍,50130253,수망리,마흐니 숲길,숲길
수망리마을,서귀포시,남원읍,50130253,수망리,물영아리오름,오름
신례1리마을,서귀포시,남원읍,50130253,신례1리,양금석가옥,문화재
신례1리마을,서귀포시,남원읍,50130253,신례1리,동백포레스트,식물원+수목원
신례1리마을,서귀포시,남원읍,50130253,신례1리,이승이오름(이승악),오름
신례1리마을,서귀포시,남원읍,50130253,신례1리,사라오름,오름
신례1리마을,서귀포시,남원읍,50130253,신례1리,휴애리 자연생활공원,자연공원
신례1리마을,서귀포시,남원읍,50130253,신례1리,제주 신례리 왕벚나무 자생지,천연기념물
신례2리마을,서귀포시,남원읍,50130253,신례2리,공천포구,포구
신흥2리마을,서귀포시,남원읍,50130253,신흥2리,예절이오름(여절악),오름
위미1리마을,서귀포시,남원읍,50130253,위미1리,스프링데일CC,골프장
위미1리마을,서귀포시,남원읍,50130253,위미1리,이음새,체험
위미3리마을,서귀포시,남원읍,50130253,위미3리,위미동백나무군락,기념물
위미3리마을,서귀포시,남원읍,50130253,위미3리,"자배봉(자배오름, 망오름)",오름
위미3리마을,서귀포시,남원읍,50130253,위미3리,태웃개,체험
의귀리마을,서귀포시,남원읍,50130253,의귀리,의귀리 김만일묘역,문화재
태흥2리마을,서귀포시,남원읍,50130253,태흥2리,옥돔마을,관광
하례1리마을,서귀포시,남원읍,50130253,하례1리,걸서악오름,오름
하례1리마을,서귀포시,남원읍,50130253,하례1리,제주농업생태원,체험
하례2리마을,서귀포시,남원읍,50130253,하례2리,효명사,사찰
하례2리마을,서귀포시,남원읍,50130253,하례2리,고살리숲길,숲길
하례2리마을,서귀포시,남원읍,50130253,하례2리,수악,오름
한남리마을,서귀포시,남원읍,50130253,한남리,머체왓숲길,숲길
한남리마을,서귀포시,남원읍,50130253,한남리,사려니오름,오름
가파리마을 ,서귀포시,대정읍,50130250,가파리,가파도,섬
구억마을,서귀포시,대정읍,50130250,구억리,노리매,테마파크
마라리마을,서귀포시,대정읍,50130250,마라리,대한민국최남단비,기념물
마라리마을,서귀포시,대정읍,50130250,마라리,마라도 등대,등대
마라리마을,서귀포시,대정읍,50130250,마라리,초콜렛캐슬,박물관
마라리마을,서귀포시,대정읍,50130250,마라리,마라도,섬
