마을명,시군구명,읍면동명,행정리명,관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,면적,지정일자,수용인원수,주차가능수,관광지소개,휴무일,운영시간,요금정보,주요목적,편의시설,관리기관명,관리기관전화번호,데이터기준일자
남원1리마을,서귀포시,남원읍,남원1리,금호제주리조트 아쿠아나,워터파크,제주특별자치도 서귀포시 남원읍 태위로 522-12,제주특별자치도 서귀포시 남원읍 남원리 2390,33.27264281,126.7014326,,,,,바다와 한라산 전망을 동시에 누리는 Seaside Resort,매월1번째월요일,,11000원(온천탕성인)+9000원(온천탕어린이)+22000원(아쿠아나주중성인)+20000원(아쿠아나주중어린이)+26000원(아쿠아나주말성인)+21000원(아쿠아나주말어린이)+30000원(아쿠아나성수기성인)+26000원(아쿠아나성수기어린이),관광+포토,공용주차장+현금결제+카드결제+화장실+무료WIFI+금연구역+편의점+음료대+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터,금호제주리조트,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,큰엉해안경승지,자연명소,제주특별자치도 서귀포시 남원읍 태위로 522-17,제주특별자치도 서귀포시 남원읍 남원리 2379-3,33.27334251,126.7037085,,,,,때묻지 않은 기암절벽이 아름다운 해양경승지,연중무휴,(평일+주말+공휴일)11:00~20:00,무료,포토스팟,공중화장실,제주특별자치도 서귀포시 남원읍사무소,064-760-4181,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,코코몽 에코파크,테마파크,제주특별자치도 서귀포시 남원읍 태위로 536,제주특별자치도 서귀포시 남원읍 남원리 2380 ,33.27455804,126.7058511,,,,,아이들의 오감을 자극하는 친환경 프리미엄 테마파크,화요일,(평일+주말+공휴일)10:00~18:00,25000원(24개월이상13세까지아동)+15000원(중학생이상성인+장애아동)+무료(24개월미만유아)+9500원(장애성인)+3000원(코코몽기차1회탑승권+카레이싱1회이용권)+6000원(자유이용권),관광+포토,화장실+주차장,제주에코빌리지,1661-4284,2022-09-30
수망리마을,서귀포시,남원읍,수망리,마흐니 숲길,숲길,,제주특별자치도 서귀포시 남원읍 수망리 산203,33.37944666,126.6551931,,,,,사색을 즐기며 걷기 좋은 숲길,연중무휴,,무료,걷기,,제주특별자치도 서귀포시 남원읍 수망리사무소,064-764-1089,2022-09-30
수망리마을,서귀포시,남원읍,수망리,물영아리오름,오름,,제주특별자치도 서귀포시 남원읍 수망리 산 189,33.3708091,126.6935196,717013,2000-12-05,,,신령스러운 산이라는 뜻의 '영아리'와 분화구에 물이 고인 습지를 품고 있기에 '물'이라는 접두어가 붙은 오름,연중무휴,,무료,걷기+등산,주차장+편의점,제주도청,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,양금석가옥,문화재,제주특별자치도 서귀포시 남원읍 신례로298번길 3-6,제주특별자치도 서귀포시 남원읍 신례1리 1314,33.29131729,126.6284804,,1978-11-14,,,제주도 전통 초가 양식으로 이루어진 가옥,연중무휴,,무료,관람,,제주도청 ,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,동백포레스트,식물원+수목원,제주특별자치도 서귀포시 남원읍 생기악로 53-38,제주특별자치도 서귀포시 남원읍 신례리 1767,33.30030681,126.6361998,,,,,사진찍기 좋은 신례리 동백나무 군락지,월요일+화요일,(평일+주말+공휴일)10:00~18:00,4000원(성인)+3000원(제주도민+초등학생+경로)+무료(미취학아동+국가유공자),관광+포토,현금결제+신용카드+반려동물동반,동백포레스트,0507-1331-2102,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,이승이오름(이승악),오름,,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,33.34014394,126.6222444,332070,,,,살쾡이를 닮아서 이승이란 이름을 갖게 된 오름,연중무휴,,무료,걷기+등산,화장실+정자+주차장,제주도청 ,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,사라오름,오름,,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.37192793,126.5708337,62863,2011-10-13,,,노루 떼가 뛰어노는 모습이 한 폭의 그림 같은 곳임,연중무휴,,무료,걷기+등산,,제주도청 ,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,휴애리 자연생활공원,자연공원,제주특별자치도 서귀포시 남원읍 신례동로 256,제주특별자치도 서귀포시 남원읍 신례리 2081,33.3093861,126.635405,65000,2007-05-05,2000,200,자연 속 동식물들과 교감이 있는 체험형 자연생활공원,연중무휴,(평일+주말+공휴일)09:00~18:00,13000원(성인)+11000원(청소년+성인단체)+10000원(어린이)+9000원(청소년단체)+8000원(어린이단체)+6500원(경로+유공자성인+장애인성인+제주도민성인)+5500원(유공자청소년+장애인청소년+제주도민청소년)+5000원(유공자어린이+장애인어린이+제주도민어린이),체험+공연+전시+포토스팟,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설+임산부휴게시설,휴애리,064-732-2114,2022-09-30
