"일련번호","콘텐츠명","소셜네트워크명","등록일시","공유타입"
259,"협재해수욕장","kakaostory","2018-05-30","contents"
260,"제주조천스위스마을","kakaostory","2018-05-30","contents"
261,"제주조천스위스마을","kakaostory","2018-05-30","contents"
262,"비자림","facebook","2018-05-30","contents"
263,"비자림","facebook","2018-05-30","contents"
264,"비자림","facebook","2018-05-30","contents"
268,"삼다공원  야간콘서트","kakaostory","2018-05-30","contents"
269,"삼다공원  야간콘서트","kakaostory","2018-05-30","contents"
272,"애월해안도로","kakaostory","2018-05-30","contents"
275,"삼다공원  야간콘서트","facebook","2018-05-30","contents"
278,"삼다공원  야간콘서트","kakaostory","2018-05-31","contents"
279,"구엄포구","kakaostory","2018-05-31","contents"
280,"천지연폭포","kakaostory","2018-05-31","contents"
281,"우유부단","kakaostory","2018-05-31","contents"
282,"우유부단","kakaostory","2018-05-31","contents"
285,"늘송파크텔","twitter","2018-06-01","contents"
286,"황우지해안","kakaostory","2018-06-01","contents"
288,"제주절물자연휴양림","kakaostory","2018-06-01","contents"
292,"보롬왓 축제","twitter","2018-06-01","contents"
293,"제주김만복(만복이네김밥집)","kakaostory","2018-06-01","contents"
294,"황우지해안","facebook","2018-06-01","contents"
295,"렛츠런팜 양귀비꽃","kakaostory","2018-06-01","contents"
296,"생이기정","kakaostory","2018-06-01","contents"
297,"2023 청수 곶자왈 반딧불이 축제","kakaostory","2018-06-01","contents"
300,"비자림","kakaostory","2018-06-01","contents"
301,"비자림","kakaostory","2018-06-01","contents"
302,"비자림","facebook","2018-06-01","contents"
305,"플레이케이팝","kakaostory","2018-06-02","contents"
306,"플레이케이팝","kakaostory","2018-06-02","contents"
308,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-06-02","contents"
311,"김경숙해바라기농장","kakaostory","2018-06-02","contents"
313,"송당승마장","kakaostory","2018-06-02","contents"
317,"가뫼물","kakaostory","2018-06-03","contents"
318,"가뫼물","facebook","2018-06-03","contents"
319,"외돌개","kakaostory","2018-06-03","contents"
320,"외돌개","kakaostory","2018-06-03","contents"
322,"사려니숲길","kakaostory","2018-06-03","contents"
323,"2023 청수 곶자왈 반딧불이 축제","kakaostory","2018-06-03","contents"
324,"바당미술관","facebook","2018-06-03","contents"
325,"주상절리대(중문대포해안)","kakaostory","2018-06-03","contents"
327,"장전리 벚꽃축제길","kakaostory","2018-06-03","contents"
328,"갓포하루","kakaostory","2018-06-03","contents"
329,"청수곶자왈","facebook","2018-06-03","contents"
330,"비자림","facebook","2018-06-03","contents"
335,"비자림","kakaostory","2018-06-04","contents"
336,"천지연폭포","kakaostory","2018-06-04","contents"
337,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-06-04","contents"
338,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-06-04","contents"
339,"천지연폭포","kakaostory","2018-06-04","contents"
340,"춘미향 식당","kakaostory","2018-06-04","contents"
359,"헬로키티아일랜드","kakaostory","2018-06-05","contents"
360,"한라산국립공원","facebook","2018-06-05","contents"
361,"한라산국립공원","facebook","2018-06-05","contents"
363,"만장굴","kakaostory","2018-06-05","contents"
364,"귀빈사","facebook","2018-06-05","contents"
365,"귀빈사","kakaostory","2018-06-05","contents"
366,"귀빈사","kakaostory","2018-06-05","contents"
367,"귀빈사","facebook","2018-06-05","contents"
368,"귀빈사","kakaostory","2018-06-05","contents"
369,"귀빈사","kakaostory","2018-06-05","contents"
370,"협재해수욕장","kakaostory","2018-06-05","contents"
371,"올레7돈 (올레칠돈)","kakaostory","2018-06-05","contents"
372,"올레7돈 (올레칠돈)","kakaostory","2018-06-05","contents"
373,"함덕해수욕장","kakaostory","2018-06-05","contents"
374,"더클라우드호텔","kakaostory","2018-06-05","contents"
376,"2018년 5월 놓치지 말아야 할 제주 관광 10선 <눈부시게 아름다운, 제주 그리고 당신>","kakaostory","2018-06-05","contents"
375,"2018년 5월 놓치지 말아야 할 제주 관광 10선 <눈부시게 아름다운, 제주 그리고 당신>","kakaostory","2018-06-05","contents"
377,"제주이글루","facebook","2018-06-05","contents"
384,"정방폭포","kakaostory","2018-06-06","contents"
385,"제주레일바이크","twitter","2018-06-06","contents"
388,"광치기해변","kakaostory","2018-06-06","contents"
389,"광치기해변","kakaostory","2018-06-06","contents"
394,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-06","contents"
395,"월정리해변","kakaostory","2018-06-06","contents"
396,"월정리해변","kakaostory","2018-06-06","contents"
399,"우도(해양도립공원)","kakaostory","2018-06-07","contents"
404,"지소울","kakaostory","2018-06-07","contents"
405,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-07","contents"
406,"제주관광공사 시내면세점(외국인)","twitter","2018-06-07","contents"
407,"토이승마장","facebook","2018-06-07","contents"
408,"어쩌다 여기가 요일가게","facebook","2018-06-07","contents"
409,"당산봉(당오름,차귀오름)","kakaostory","2018-06-07","contents"
414,"삼다공원  야간콘서트","kakaostory","2018-06-08","contents"
416,"삼다공원  야간콘서트","facebook","2018-06-08","contents"
417,"새별오름","kakaostory","2018-06-08","contents"
418,"2023 청수 곶자왈 반딧불이 축제","kakaostory","2018-06-08","contents"
423,"삼다공원  야간콘서트","twitter","2018-06-08","contents"
425,"사려니숲길","facebook","2018-06-08","contents"
426,"돈사돈","kakaostory","2018-06-08","contents"
427,"제주레포츠랜드","facebook","2018-06-08","contents"
428,"제주레포츠랜드","facebook","2018-06-08","contents"
430,"보롬왓","kakaostory","2018-06-08","contents"
431,"보롬왓","kakaostory","2018-06-08","contents"
432,"보롬왓","kakaostory","2018-06-08","contents"
433,"보롬왓","kakaostory","2018-06-08","contents"
434,"보롬왓","kakaostory","2018-06-08","contents"
437,"제주빅볼랜드","kakaostory","2018-06-09","contents"
438,"제주맥주","kakaostory","2018-06-09","contents"
439,"잠녀해녀촌","kakaostory","2018-06-09","contents"
440,"2023 청수 곶자왈 반딧불이 축제","kakaostory","2018-06-09","contents"
442,"청수곶자왈","twitter","2018-06-09","contents"
443,"제주라프 짚라인","kakaostory","2018-06-09","contents"
446,"카멜리아힐","kakaostory","2018-06-09","contents"
447,"비자림","facebook","2018-06-09","contents"
451,"비자림","kakaostory","2018-06-09","contents"
453,"제주도그릴","kakaostory","2018-06-09","contents"
454,"마라도(마라해양도립공원)","kakaostory","2018-06-09","contents"
455,"함덕 멘도롱장","facebook","2018-06-10","contents"
456,"정방폭포","facebook","2018-06-10","contents"
457,"함덕 멘도롱장","facebook","2018-06-10","contents"
458,"함덕 멘도롱장","twitter","2018-06-10","contents"
459,"애월 한담 카약","kakaostory","2018-06-10","contents"
460,"갓전시관[갓전수교육관]","kakaostory","2018-06-10","contents"
461,"사려니숲 에코힐링 체험","facebook","2018-06-10","contents"
463,"사려니숲 에코힐링 체험","facebook","2018-06-10","contents"
464,"사려니숲 에코힐링 체험","kakaostory","2018-06-10","contents"
467,"청수곶자왈","kakaostory","2018-06-10","contents"
470,"삼다공원  야간콘서트","kakaostory","2018-06-10","contents"
471,"사려니숲 에코힐링 체험","kakaostory","2018-06-10","contents"
101,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-04-16","contents"
102,"성산일출봉(UNESCO 세계자연유산)","twitter","2018-04-16","contents"
103,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-16","contents"
114,"제주4.3평화공원","kakaostory","2018-04-17","contents"
115,"제주4.3평화공원","facebook","2018-04-17","contents"
116,"제주4.3평화공원","twitter","2018-04-17","contents"
232,"한라산국립공원","kakaostory","2018-05-21","contents"
233,"한라산국립공원","facebook","2018-05-21","contents"
234,"한라산국립공원","twitter","2018-05-21","contents"
235,"트멍장터 플리마켓","kakaostory","2018-05-21","contents"
127,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-18","contents"
128,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-18","contents"
129,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-04-18","contents"
130,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-04-18","contents"
131,"성산일출봉(UNESCO 세계자연유산)","twitter","2018-04-18","contents"
132,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-18","contents"
133,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-18","contents"
134,"한라산국립공원","kakaostory","2018-04-18","contents"
135,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-18","contents"
136,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-18","contents"
137,"제주관광공사 중문면세점 (내국인)","kakaostory","2018-04-18","contents"
138,"제주관광공사 중문면세점 (내국인)","kakaostory","2018-04-18","contents"
139,"명당양과","kakaostory","2018-04-18","contents"
151,"사려니숲길","kakaostory","2018-04-18","contents"
