"통계일","성별","연령대","키워드","점수"
"2020-12-31","여성","60대이상","감귤",60.495140000000006
"2020-12-31","여성","60대이상","일출",127.87943
"2020-12-31","여성","60대이상","방어",49.08502
"2020-12-31","전체","전체","감귤",35.57014
"2020-12-31","전체","전체","일출",132.3072
"2020-12-31","전체","전체","방어",46.06286
"2020-12-31","여성","30대","감귤",56.41001
"2020-12-31","여성","30대","일출",125.29990000000001
"2020-12-31","여성","30대","방어",44.350919999999995
"2020-12-31","여성","40대","감귤",87.01953999999999
"2020-12-31","여성","40대","일출",126.06728
"2020-12-31","여성","40대","방어",51.150400000000005
"2020-12-31","여성","10대","일출",140.72113
"2020-12-31","여성","10대","벚꽃",16.70523
"2020-12-31","여성","10대","동백",29.0109
"2020-12-31","여성","20대","감귤",18.43311
"2020-12-31","여성","20대","일출",130.30395000000001
"2020-12-31","여성","20대","방어",31.56379
"2020-12-31","남성","60대이상","감귤",29.354190000000003
"2020-12-31","남성","60대이상","일출",142.20481
"2020-12-31","남성","60대이상","방어",71.62424
"2020-12-31","여성","50대","감귤",77.79571
"2020-12-31","여성","50대","일출",122.52759999999999
"2020-12-31","여성","50대","방어",49.69009
"2020-12-31","남성","20대","감귤",15.449659999999998
"2020-12-31","남성","20대","일출",139.35799
"2020-12-31","남성","20대","방어",41.70039
"2020-12-31","남성","30대","감귤",26.3457
"2020-12-31","남성","30대","일출",131.04307
"2020-12-31","남성","30대","방어",51.81114
"2020-12-31","남성","40대","감귤",44.73056
"2020-12-31","남성","40대","일출",129.6619
"2020-12-31","남성","40대","방어",73.36238
"2020-12-31","남성","50대","감귤",35.69328
"2020-12-31","남성","50대","일출",128.82712999999998
"2020-12-31","남성","50대","방어",78.81376
"2020-12-31","남성","10대","일출",151.65151
"2020-12-31","남성","10대","방어",14.73986
"2020-12-31","남성","10대","벚꽃",9.49625
"2021-01-01","여성","60대이상","감귤",302.57509
"2021-01-01","여성","60대이상","방어",174.2489
"2021-01-01","전체","전체","감귤",322.46720000000005
"2021-01-01","전체","전체","방어",313.03765
"2021-01-01","여성","30대","감귤",322.01341
"2021-01-01","여성","30대","방어",181.0738
"2021-01-01","여성","40대","감귤",313.47772
"2021-01-01","여성","40대","방어",131.00679
"2021-01-01","여성","10대","벚꽃",202.25224
"2021-01-01","여성","10대","동백",346.84683
"2021-01-01","여성","20대","감귤",226.16485999999998
"2021-01-01","여성","20대","방어",300.93188000000004
"2021-01-01","남성","60대이상","감귤",177.96051
"2021-01-01","남성","60대이상","방어",353.28945
"2021-01-01","여성","50대","감귤",317.15817000000004
"2021-01-01","여성","50대","방어",151.83197
"2021-01-01","남성","20대","감귤",146.23429
"2021-01-01","남성","20대","방어",328.59133999999995
"2021-01-01","남성","30대","감귤",219.60439000000002
"2021-01-01","남성","30대","방어",322.62943
"2021-01-01","남성","40대","감귤",251.32799999999997
"2021-01-01","남성","40대","방어",324.36917000000005
"2021-01-01","남성","50대","감귤",193.46151
"2021-01-01","남성","50대","방어",337.8205
"2021-01-01","남성","10대","방어",304.81926
"2021-01-01","남성","10대","벚꽃",233.73492
"2021-01-08","여성","60대이상","캠핑",51.181079999999994
"2021-01-08","여성","60대이상","방어",301.57479
"2021-01-08","여성","60대이상","동백",274.01572999999996
"2021-01-08","전체","전체","캠핑",134.97887
"2021-01-08","전체","전체","방어",346.90429
"2021-01-08","전체","전체","동백",171.1421
"2021-01-08","여성","30대","캠핑",196.79631999999998
"2021-01-08","여성","30대","방어",341.99082999999996
"2021-01-08","여성","30대","동백",221.85353000000003
"2021-01-08","여성","40대","캠핑",146.41253
"2021-01-08","여성","40대","방어",302.35425
"2021-01-08","여성","40대","동백",246.63675
"2021-01-08","여성","10대","해수욕장",26.63549
"2021-01-08","여성","10대","코스모스",208.87849000000003
"2021-01-08","여성","10대","동백",380.84110999999996
"2021-01-08","여성","20대","캠핑",140.34481
"2021-01-08","여성","20대","방어",356.20687999999996
"2021-01-08","여성","20대","동백",258.73561
"2021-01-08","남성","60대이상","캠핑",64.99999
"2021-01-08","남성","60대이상","방어",301.33333
"2021-01-08","남성","60대이상","동백",124.99998000000001
"2021-01-08","여성","50대","캠핑",70.2517
"2021-01-08","여성","50대","방어",295.88099
"2021-01-08","여성","50대","동백",292.21965
"2021-01-08","남성","20대","캠핑",100.20302
"2021-01-08","남성","20대","방어",363.45176
"2021-01-08","남성","20대","동백",89.03551
"2021-01-08","남성","30대","캠핑",153.00835999999998
"2021-01-08","남성","30대","방어",344.47828000000004
"2021-01-08","남성","30대","동백",58.94896
"2021-01-08","남성","40대","캠핑",144.49115
"2021-01-08","남성","40대","방어",340.37005
"2021-01-08","남성","40대","동백",49.789719999999996
"2021-01-08","남성","50대","캠핑",86.15608999999999
"2021-01-08","남성","50대","방어",321.94401999999997
"2021-01-08","남성","50대","동백",79.23414
"2021-01-08","남성","10대","캠핑",66.17645
"2021-01-08","남성","10대","코스모스",332.35292
